Theme,icon,subtheme,Name,Longitude,Latitude
Health Services,hospital,Public Hospital,Alfred Hospital,144.9817863,-37.84626312
Leisure,skiing,"Outdoor Recreation Facility Zoo, Golf Course",Riverside Park,144.9156071,-37.79483753
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Darling Square,144.9890626,-37.81299207
Theatre,theatre,Theatre Live,Carlton Courthouse Theatre,144.9687501,-37.79765899
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Flagstaff Gardens,144.9546961,-37.81112229
Leisure,skiing,"Outdoor Recreation Facility Zoo, Golf Course",Melbourne Showgrounds,144.9108221,-37.78230979
Education Centre,college,Primary Schools,North Melbourne Primary School,144.9510658,-37.79867372
Theatre,theatre,Theatre Live,Her Majesty's Theatre,144.9695202,-37.81099756
Theatre,theatre,Theatre Live,Comedy Theatre,144.9701331,-37.81020539
Theatre,theatre,Theatre Live,La Mama Theatre,144.9676695,-37.7991305
Industrial,landmark,Industrial Manufacturing,Kraft,144.9234757,-37.82623131
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Fawkner Park,144.9816257,-37.84139967
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Fitzroy Gardens,144.9804557,-37.81296163
Museum,museum,Art Gallery/Museum,Sinclair's Cottage,144.980555,-37.81454075
Education Centre,college,Tertiary University,BIO 21 Institute,144.9537803,-37.79787433
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Enterprize Park,144.9592769,-37.82021027
Museum,museum,Art Gallery/Museum,Victoria Police Museum,144.95404,-37.82221828
Museum,museum,Art Gallery/Museum,Immigration Museum,144.9604268,-37.81917988
Place of Worship,religious-christian,Church,St Pauls Cathedral,144.9676816,-37.8169549
Theatre,theatre,Theatre Live,Forum Theatre,144.9693866,-37.81648541
Railway Station,landmark,Railway Station,Flinders Street Railway Station,144.9670648,-37.8179063
Store,shop,Store Yard,Melbourne Wholesale Fish Market,144.9306133,-37.8083471
Mixed-Use,town-hall,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market",144.9232874,-37.80687252
Museum,museum,Art Gallery/Museum,Fire Services Museum Victoria,144.9753737,-37.80857613
Fire station,fire-station,Fire Station,Metropolitan Fire Brigade MFB,144.9752476,-37.80923186
Health Services,hospital,Public Hospital,Royal Melbourne Hospital,144.9563897,-37.79930717
Museum,museum,Art Gallery/Museum,The Ian Potter Museum Of Art,144.9641567,-37.79739396
Education Centre,college,Tertiary University,University of Melbourne,144.9609952,-37.79828923
Museum,museum,Art Gallery/Museum,Koorie Heritage Trust Inc,144.9540279,-37.81338543
Community Use,town-hall,Public Buildings,Commonwealth Law Courts,144.9558238,-37.81239617
Education Centre,college,Tertiary University,RMIT University,144.964453,-37.80807954
Railway Station,landmark,Railway Station,Melbourne Central Railway Station,144.9637893,-37.8100167
Mixed-Use,town-hall,Retail/Office/Residential/Carpark,QV Village,144.9657146,-37.81068919
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Argyle Square,144.9657613,-37.80314806
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Piazza Italia,144.9658631,-37.80251642
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Macarthur Square,144.9715141,-37.79833187
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Murchinson Square,144.9730593,-37.8002735
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Parliament Reserve,144.9734622,-37.80985262
Leisure,skiing,Major Sports & Recreation Facility,North Melbourne Recreation Centre Aquatic,144.9432908,-37.799947
Office,industry,Office,North Melbourne Football Club,144.9409635,-37.79977136
Leisure,skiing,Gymnasium/Health Club,North Melbourne Recreation Centre Gymnasium,144.9403683,-37.79970512
Leisure,skiing,Indoor Recreation Facility,Carlton Baths,144.9716965,-37.7934377
Leisure,skiing,Major Sports & Recreation Facility,City Baths,144.9631898,-37.80715854
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Westgate Park,144.9088248,-37.83149186
Railway Station,landmark,Railway Station,North Melbourne Railway Station,144.9424298,-37.80738236
